ID;Nombre;ID regra de impuestos;Precio impuestos incluidos;En oferta;Valor del descuento;Porcentaje de descuento;Descuento desde fecha;Descuento hasta fecha;Referencia Nº;Referencia Nº Proveedor;Precio impuestos excluidos;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Plazo de entrega con stock;Plazo de entrega sin stock;Cantidad;Cantidad minima;Nivel de stock bajo;Enviame un correo cuando stock bajo;Visible;Costo adicional de envio;Unidad precio;Precio unitario;Resumen;Descripcion larga;Etiquetas;Meta-titulo;meta-keywords;meta-descripcion;url-reescrita;etiqueta con stock;etiqueta en espera;disponible pedidos;fecha disponible;fecha creacion;mostrar precio;URL's de las imágenes;Texto alternativo;Elimine las imagenes existentes;Caracteristicas;Solo disponible por internet;
;**no facturar**heladera Tokyo inox frio humedo mod tok450in con dispenser;1;2703000;;;;;;HETOK450IN;;;TOKYO;7841175008605;;;60,00;178,40;70,20;187,86;;;;;;;;;;;HELADERA 450 LTS CON DISPENSER;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/HETOK450IN.jpg;;;;;
;Aa compacto Tokyo frio solo mod trct-60cwn1-r 60000btu 380-415v 3n 50hz;1;12196000;;;;;;AACM18-TRCT60CWN1;;;TOKYO;7841175011339;;;93,50;86,50;134,00;270,94;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AACM18-TRCT60CWN1.jpg;;;;;
;Aa ventana Tokyo 12000 btu tokchr18-12bt1 frio/calor con control remoto;1;2397000;;;;;;AATOKCHR18-12BT1;;;TOKYO;7841175011032;;;44,00;62,50;70,00;48,13;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATOKCHR18-12BT1.jpg;;;;;
;Abdominalera Evolution total crunch ab50;1;404000;;;;;;GIMEVOAB50;;;EVOLUTION;7898953407297;;;25,00;67,50;85,00;35,86;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GIMEVOAB50-N.jpg;;;;;
;Abdominalera Evolution evo ab coaster monitor digital peso max 110kgs;1;972000;;;;;;GIMEVOAB;;;EVOLUTION;7841175005161;;;38,00;38,00;128,00;46,21;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GIMEVOAB.JPG;;;;;
;Aa compacto Tokyo mod trct240cwn1 240.000 frio/solo, 380-415v;1;47688000;;;;;;AACM19-TRCT240CWN1;;;TOKYO;7841175013296;;;221,20;128,40;169,50;1203,54;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AACM19-TRCT240CWN1.jpg;;;;;
;Aa ventana Tokyo 9000 btu tokchr18-09bt1 frio/calor con control remoto;1;1764000;;;;;;AATOKCHR18-09BT1;;;TOKYO;7841175011025;;;43,50;60,70;49,40;32,61;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATOKCHR18-09BT1.jpg;;;;;
;Ablandador de carne Malta manual mod 901 en aluminio 17cm;1;151000;;;;;;GACM-901;;;MALTA;;;;22,50;37,00;11,50;12,00;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GACM-901.jpg;;;;;
;Accesorio Kitchenaid exprimidor de frutas mod je;1;299000;;;;;;GE-JE;;;KITCHENAID;50946000299;;;12,00;23,00;17,00;1,17;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GE-JE.jpg;;;;;
;Aa compacto Tokyo mod trct240cwn1 240000btu 380-415v 3n 50hz;1;41467000;;;;;;AACM16-TRCT240CWN1;;;TOKYO;7841175007653;;;169,50;128,40;221,20;1203,54;;;;;;;;;;;AIRE ACONDICIONADO COMPACTO 240000BTU;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AACM16-TRCT240CWN1.jpg;;;;;
;Abridora. aplastadora. formadora de masas Skymsen mod amp-500 1/2hp 220v/50hz;1;18877000;;;;;;GAAFMS-AMP5;;;SKYMSEN;7895707641877;;;77,00;88,00;102,00;172,79;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GAAFMS-AMP5.jpg;;;;;
;Accesorio Kitchenaid cortador en espiral mod ksm1apc;1;1202000;;;;;;GC-KSM1APC;;;KITCHENAID;5413184102470;;;7,40;31,40;14,70;1,00;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GC-KSM1APC.jpg;;;;;
;Ablandador de carne Skymsen mod abn-hd inox heavy duty 1/2 hp 220v/50 hz;1;7557000;;;;;;GACS-ABN;;;SKYMSEN;7895707641785;;;51,00;31,00;59,00;28,00;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GACS-ABN.jpg;;;;;
;Aa compacto Tokyo mod trct360cwn1 360000btu 380-415v 3n 50hz;1;68533000;;;;;;AACM17-TRCT360CWN1;;;TOKYO;7841175009978;;;233,00;127,50;223,00;1656,19;;;;;;;;;;;AA COMPACTO 360000BTU;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AACM17-TRCT360CWN1.jpg;;;;;
;Ablandador de carne Malta manual 902 17cm;1;188000;;;;;;GAMC902;;;MALTA;7896201709025;;;24,00;12,50;25,00;1,88;;;;;;;;;;;ABLANDADOR DE CARNE MALTA MANUAL 902. 17 CM;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GAMC902.jpg;;;;;
;Accesorio Kitchenaid extractor de jugo mod ksm1ja;1;1954000;;;;;;GE-KSM1JA;;;KITCHENAID;883049325743;;;18,00;24,00;26,50;4,14;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GE-KSM1JA.jpg;;;;;
;Accesorio Kitchenaid molino de frutas y verduras mod 5fvsp;1;721000;;;;;;GM-5FVSP;;;KITCHENAID;50946426143;;;23,00;23,00;20,50;2,71;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GM-5FVSP.jpg;;;;;
;Accesorio turbo chef kit panini grill estante/bandeja p/horno sota mod i13221;1;1650000;;;;;;GHTA-I13221;;;TURBOCHEF;;;;22,00;2,00;35,00;0,39;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GHTA-I13221.jpg;;;;;
;Accesorio turbo chef cesta med 16.5cmx36.2cmx1.3cm mod ngc-1278;1;452000;;;;;;GHTA-NGC1278;;;TURBOCHEF;;;;16,50;1,30;36,20;0,19;;;;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GHTA-NGC1278.jpg;;;;;
