ID;Nombre;Precio impuestos incluidos;ID regla de impuestos;En oferta (0/1);Valor del descuento;Porcentaje de descuento;Descuento desde (aaaa-mm-dd);Descuento hasta (aaaa-mm-dd);Referencia nº;N° de referencia proveedor;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Cantidad;Cantidad mínima;Nivel de stock bajo;Envíame un mensaje de correo electrónico cuando la cantidad esté por debajo de este nivel;Visible en;Coste adicional del envío;Unidad para el precio unitario;Resumen;Descripción;Etiquetas (x,y,z...);Meta-título;Meta keywords;Meta descripción;URL reescrita;Disponible para pedidos (0 = No, 1 = Si);Fecha de disponibilidad del producto;Fecha de creación del producto;URL's de las imágenes (x,y,z...);Textos alternativos de imagen (x,y,z...);Elimine las imágenes existentes (0 = No, 1 = Si);Característica (Nombre:Valor:Posición:Personalizado);Estado;Destacado;
;Ablandador de carne metvisa tipo pac 1/2 hp 220v/50 hz;3404000;1;0;;;;;GAM-PAC;;METVISA;7899511901653;;;23,00;23,00;23,00;23,000000;5;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GAM-PAC.jpg;;;Marca:METVISA&Producto:REBANADORES COMERCIALES&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial&Ancho:23  CM&Alto:54.5  CM&Largo:34  CM&Peso:23000  GR;;;
;Abdominalera evolution total crunch ab50;715000;1;0;;;;;GIMEVOAB50-N;;EVOLUTION;7898953407297;;;25,00;25,00;25,00;35,859375;50;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GIMEVOAB50-N.jpg&http://181.40.23.235:8099/files/imagenes/productos/GIMEVOAB50-N(1).jpg&http://181.40.23.235:8099/files/imagenes/productos/GIMEVOAB50-N(2).jpg;;;Marca:EVOLUTION&Producto:COMPLEMENTOS FITNESS&Segmento:FITNESS&Vendedor:Sara Comercial&Ancho:25  CM&Alto:67.5  CM&Largo:85  CM&Peso:11500  GR;;;
;Accesorio turbo chef kit panini grill estante/bandeja p/horno sota mod i13221;1707000;1;0;;;;;GHTA-I13221;;TURBOCHEF;;;;22,00;22,00;22,00;0,385000;5;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GHTA-I13221.jpg;;;Marca:TURBOCHEF&Producto:ACCESORIOS&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial&Ancho:22  CM&Alto:2  CM&Largo:35  CM&Peso:0  GR;;;
;Aa compacto tokyo mod trct360cwn1 360000btu 380-415v 3n 50hz con filtro y porta;83970000;1;0;;;;;AACM20-TRCT360CWN1;;TOKYO;7841175014392;;;233,00;233,00;233,00;1632,811575;5;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AACM20-TRCT360CWN1.jpg;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial&Ancho:233  CM&Alto:125.7  CM&Largo:223  CM&Peso:940000  GR;;;
;Accesorio kitchenaid cortador en espiral mod ksm1apc;1250000;1;0;;;;;GC-KSM1APC;;KITCHENAID;5413184102470;;;7,40;7,40;7,40;1,000000;5;;;;;;;;AHORA PODéS PRESENTAR TU COMIDA DE MANERA DIVERTIDA Y ELABORAR RECETAS ESPECIALES COMO ESPAGUETIS DE CALABAZA O FIDEOS DE ZUCCHINI. EL CORTADOR EN ESPIRAL CUENTA CON CUATRO CUCHILLAS QUE CORTAN EN ESPIRAL TIRAS FINAS O MEDIANAS Y DESCORAZONA TODO TIPO DE FRUTAS Y VERDURAS. COMPATIBLE CON TODAS LAS BATIDORAS KITCHENAID.;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GC-KSM1APC.jpg;;;Marca:KITCHENAID&Producto:ACCESORIOS&Segmento:PEQUE�OS ELECTRODOMESTICOS&Vendedor:Sara Comercial&Ancho:7.4  CM&Alto:31.4  CM&Largo:14.7  CM&Peso:1000  GR;;;
;Aa compacto tokyo frio solo mod trct-60cwn1-r 60000btu 380-415v 3n 50hz;12684000;1;0;;;;;AACM18-TRCT60CWN1;;TOKYO;7841175011339;;;93,50;93,50;93,50;270,939625;5;;;;;;;;LOS ACONDICIONADORES DE AIRE TOKYO COMBINAN LA ULTIMA TECNOLOGIA CON LAS MAS ALTA EFICIENCIA Y EL RESPALDO DE LA MARCA LIDER EN CLIMATIZACIóN, ;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AACM18-TRCT60CWN1.jpg;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial&Ancho:93.5  CM&Alto:86.5  CM&Largo:134  CM&Peso:183000  GR;;;
;Accesorio turbo chef chefcomm pro full acceso con usb smart mod con-7006;749000;1;0;;;;;GHTA-CON7006;;TURBOCHEF;;;;20,00;20,00;20,00;0,460000;5;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GHTA-CON7006.jpg;;;Marca:TURBOCHEF&Producto:ACCESORIOS&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial&Ancho:20  CM&Alto:4  CM&Largo:23  CM&Peso:0  GR;;;
;Accesorio kitchenaid molino de frutas y verduras mod 5fvsp;750000;1;0;;;;;GM-5FVSP;;KITCHENAID;50946426143;;;23,00;23,00;23,00;2,711125;5;;;;;;;;IDEAL PARA PREPARAR DELICIOSAS MERMELADAS, COMPOTAS Y TODO TIPO DE SALSAS DULCES Y SALADAS, SEPARANDO SEMILLAS, TALLOS Y CáSCARAS. SE UTILIZA CON EL ACCESORIO PICADOR (FGA)., ;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GM-5FVSP.jpg;;;Marca:KITCHENAID&Producto:ACCESORIOS&Segmento:PEQUE�OS ELECTRODOMESTICOS&Vendedor:Sara Comercial&Ancho:23  CM&Alto:23  CM&Largo:20.5  CM&Peso:960  GR;;;
;Accondicionadores de aire tokyo mod 60chr1 60000btu/h piso/techo gas ecologico r410a fc/c-desc. superior;10957000;1;0;;;;;257;;TOKYO;;;;153,00;153,00;153,00;1152,090000;50;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATECH20-PT-60CHR1N.jpg;;;Marca:TOKYO&Producto:AIRES SPLITS PISO-TECHO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial&Ancho:153  CM&Alto:120  CM&Largo:251  CM&Peso:GR;;;
;Acondicionador de aire  mod 5r1f-r(u) 60000btu/h piso/techo gas ecologico r410a fc/c-desc. lateral;10957000;1;0;;;;;282;;TOKYO;;;;117,00;117,00;117,00;1370,896313;50;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATCA20-PT-5R1F-R(U).jpg;;;Marca:TOKYO&Producto:AIRES SPLITS PISO-TECHO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial&Ancho:117  CM&Alto:172.5  CM&Largo:271.7  CM&Peso:161000  GR;;;
