ID;Nombre;Precio impuestos incluidos;ID regla de impuestos;En oferta (0/1);Valor del descuento;Porcentaje de descuento;Descuento desde (aaaa-mm-dd);Descuento hasta (aaaa-mm-dd);Referencia nº;N° de referencia proveedor;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Cantidad;Cantidad mínima;Nivel de stock bajo;Envíame un mensaje de correo electrónico cuando la cantidad esté por debajo de este nivel;Visible en;Coste adicional del envío;Unidad para el precio unitario;Resumen;Descripción;Etiquetas (x,y,z...);Meta-título;Meta keywords;Meta descripción;URL reescrita;Disponible para pedidos (0 = No, 1 = Si);Fecha de disponibilidad del producto;Fecha de creación del producto;URL's de las imágenes (x,y,z...);Textos alternativos de imagen (x,y,z...);Elimine las imágenes existentes (0 = No, 1 = Si);Característica (Nombre:Valor:Posición:Personalizado);Estado;Destacado;
;Ablandador de carne malta manual 902 17cm;199000;1;0;;;;;GAMC902;;MALTA;7896201709025;;;24,00;24,00;24,00;1,88;5;;;;;;;;ABLANDADOR DE CARNE MALTA MANUAL 902. 17 CM;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GAMC902.jpg;;;Marca:MALTA&Producto:REBANADORES COMERCIALES&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial&Dimension:1  CENTIMETROS&Ancho:24  CM&Alto:12.5  CM&Largo:25  CM&Peso:1320  GR;;;
;Aa compacto tokyo frio solo mod trct-60cwn1-r 60000btu 380-415v 3n 50hz;12684000;1;0;;;;;AACM18-TRCT60CWN1;;TOKYO;7841175011339;;;93,50;93,50;93,50;270,94;20;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AACM18-TRCT60CWN1.jpg;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial&Ancho:93.5  CM&Alto:86.5  CM&Largo:134  CM&Peso:183000  GR;;;
;Aa compacto tokyo mod trct240cwn1 240000btu 380-415v 3n 50hz;44415000;1;0;;;;;AACM16-TRCT240CWN1;;TOKYO;7841175007653;;;169,50;169,50;169,50;1203,54;0;;;;;;;;AIRE ACONDICIONADO COMPACTO 240000BTU;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AACM16-TRCT240CWN1.jpg;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial&Ancho:169.5  CM&Alto:128.4  CM&Largo:221.2  CM&Peso:700000  GR;;;
;Ablandador de carne malta manual mod 901 en aluminio 17cm;228000;1;0;;;;;GACM-901;;MALTA;7896201709018;;;22,50;22,50;22,50;12,00;5;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GACM-901.jpg;;;Marca:MALTA&Producto:REBANADORES COMERCIALES&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial&Ancho:22.5  CM&Alto:37  CM&Largo:11.5  CM&Peso:12000  GR;;;
;Abdominalera evolution evo ab coaster monitor digital peso max 110kgs;1011000;1;0;;;;;GIMEVOAB-N;;EVOLUTION;7841175005161;;;38,00;38,00;38,00;46,21;50;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GIMEVOAB-N.jpg;;;Marca:EVOLUTION&Producto:COMPLEMENTOS FITNESS&Segmento:FITNESS&Vendedor:Sara Comercial&Ancho:38  CM&Alto:38  CM&Largo:128  CM&Peso:26000  GR;;;
;Abdominalera evolution total crunch ab50;421000;1;0;;;;;GIMEVOAB50-N;;EVOLUTION;7898953407297;;;25,00;25,00;25,00;35,86;50;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GIMEVOAB50-N.jpg;;;Marca:EVOLUTION&Producto:COMPLEMENTOS FITNESS&Segmento:FITNESS&Vendedor:Sara Comercial&Ancho:25  CM&Alto:67.5  CM&Largo:85  CM&Peso:11500  GR;;;
;Aa compacto tokyo mod trct240cwn1 240.000 frio/solo, 380-415v;44415000;1;0;;;;;AACM19-TRCT240CWN1;;TOKYO;7841175013296;;;221,20;221,20;221,20;1203,54;5;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AACM19-TRCT240CWN1.jpg;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial&Ancho:221.2  CM&Alto:128.4  CM&Largo:169.5  CM&Peso:700000  GR;;;
;Aa ventana tokyo 9000 btu tokchr18-09bt1 frio/calor con control remoto;1835000;1;0;;;;;AATOKCHR18-09BT1;;TOKYO;7841175011025;;;43,50;43,50;43,50;32,61;50;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATOKCHR18-09BT1.jpg;;;Marca:TOKYO&Producto:AIRES DE VENTANA&Segmento:CLIMATIZACION&Vendedor:Sara Comercial&Ancho:43.5  CM&Alto:60.7  CM&Largo:49.4  CM&Peso:32000  GR;;;
;Aa compacto tokyo mod trct360cwn1 360000btu 380-415v 3n 50hz;74973000;1;0;;;;;AACM17-TRCT360CWN1;;TOKYO;7841175009978;;;233,00;233,00;233,00;1656,19;0;;;;;;;;AA COMPACTO 360000BTU;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AACM17-TRCT360CWN1.jpg;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial&Ancho:233  CM&Alto:127.5  CM&Largo:223  CM&Peso:940000  GR;;;
;Ablandador de carne metvisa tipo pac 1/2 hp 220v/50 hz;2472000;1;0;;;;;GAM-PAC;;METVISA;7899511901653;;;23,00;23,00;23,00;23,00;5;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GAM-PAC.jpg;;;Marca:METVISA&Producto:REBANADORES COMERCIALES&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial&Ancho:23  CM&Alto:54.5  CM&Largo:34  CM&Peso:23000  GR;;;
