ID;Nombre;Precio impuestos incluidos;ID regla de impuestos;En oferta (0/1);Valor del descuento;Porcentaje de descuento;Descuento desde (aaaa-mm-dd);Descuento hasta (aaaa-mm-dd);Referencia nº;N° de referencia proveedor;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Cantidad;Cantidad mínima;Nivel de stock bajo;Envíame un mensaje de correo electrónico cuando la cantidad esté por debajo de este nivel;Visible en;Coste adicional del envío;Unidad para el precio unitario;Resumen;Descripción;Etiquetas (x,y,z...);Meta-título;Meta keywords;Meta descripción;URL reescrita;Disponible para pedidos (0 = No, 1 = Si);Fecha de disponibilidad del producto;Fecha de creación del producto;URL's de las imágenes (x,y,z...);Textos alternativos de imagen (x,y,z...);Elimine las imágenes existentes (0 = No, 1 = Si);Característica (Nombre:Valor:Posición:Personalizado);Estado;Destacado;
;Abrelatas comercial tokyo industrial mod 443;382000;1;0;;;;;GALTI443-N;;TOKYO INDUSTRIAL;6932398819114;;;34,00;34,00;34,00;21,675000;20;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GALTI443-N.jpg&http://181.40.23.235:8199/files/imagenes/productos/GALTI443-N(1).jpg;;;Marca:TOKYO INDUSTRIAL&Producto:ACCESORIOS DE GASTRONOMIA&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial&Ancho:34  CM&Alto:50  CM&Largo:51  CM&Peso:4000  GR;;;
;Aa compacto tokyo mod trct360cwn1 360000btu 380-415v 3n 50hz con filtro y porta;100255000;1;0;;;;;AACM21-TRCT360CWN1;;TOKYO;7841175017423;;;233,00;233,00;233,00;1632,811575;20;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/AACM21-TRCT360CWN1.jpg;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial&Ancho:233  CM&Alto:125.7  CM&Largo:223  CM&Peso:940000  GR;;;
;Aa ventana tokyo 9000 btu tokchr18-09bt1 frio/calor con control remoto;2524000;1;0;;;;;AATOKCHR18-09BT1;;TOKYO;7841175011025;;;43,50;43,50;43,50;32,609558;20;;;;;;;;LOS ACONDICIONADORES DE AIRE TOKYO COMBINAN LA ULTIMA TECNOLOGIA CON LAS MAS ALTA EFICIENCIA Y EL RESPALDO DE LA MARCA LíDER EN CLIMATIZACIóN., ;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/AATOKCHR18-09BT1.jpg&http://181.40.23.235:8199/files/imagenes/productos/AATOKCHR18-09BT1(1).jpg;;;Marca:TOKYO&Producto:AIRES DE VENTANA&Segmento:CLIMATIZACION&Vendedor:Sara Comercial&Tension electrica:220-240  VOLTIOS&Frecuencia electrica:50  HERTZ&Capacidad:9.000  BTU&Ancho:43.5  CM&Alto:60.7  CM&Largo:49.4  CM&Peso:32000  GR;;;
;Abdominalera evolution total crunch ab50;737000;1;0;;;;;GIMEVOAB50-N;;EVOLUTION;7898953407297;;;31,00;31,00;31,00;12,787500;50;;;;;;;;LA ABDOMINALERA EVOLUTION ESTá PENSADA PARA QUE SEA SIMPLE Y TRANSPORTABLE. PODéS LLEVARLA A DIFERENTES LUGARES DE TU CASA, PARA QUE NO TENGAS EXCUSAS! LLéVALA AL LADO DE LA TELE, O AL PATIO SI EL DíA ESTá LINDO.;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GIMEVOAB50-N.jpg&http://181.40.23.235:8199/files/imagenes/productos/GIMEVOAB50-N(1).jpg&http://181.40.23.235:8199/files/imagenes/productos/GIMEVOAB50-N(2).jpg;;;Marca:EVOLUTION&Producto:COMPLEMENTOS FITNESS&Segmento:FITNESS&Vendedor:Sara Comercial&Capacidad:100  kilogramo&Ancho:31  CM&Alto:15  CM&Largo:110  CM&Peso:11500  GR;;;
;Ablandador de carne metvisa tipo pac 1/2 hp 220v/50 hz;3747000;1;0;;;;;GAM-PAC;;METVISA;7899511901653;;;24,50;24,50;24,50;14,148750;5;;;;;;;;SUAVIZA TODO TIPO DE CARNES SIN HUESO, MEJORANDO SU CONSISTENCIA, DE FáCIL USO Y LIMPIEZA DE EQUIPO. IDEAL PARA COMERCIOS COMO CARNICERíAS, SUPERMERCADOS Y RESTAURANTES.;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GAM-PAC.jpg;;;Marca:METVISA&Producto:REBANADORES COMERCIALES&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial&Ancho:24.5  CM&Alto:52.5  CM&Largo:44  CM&Peso:1  GR;;;
;Aa compacto tokyo trct150cwn1 150000btu 380-415v 3n 50hz con filtro y porta filt;46896000;1;0;;;;;AACM21-TRCT150CWN1;;TOKYO;7841175017409;;;199,50;199,50;199,50;726,080250;5;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/AACM21-TRCT150CWN1.jpg;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial&Ancho:199.5  CM&Alto:125.5  CM&Largo:116  CM&Peso:453000  GR;;;
;Aa compacto tokyo frio/calor mod trct-60cwn1-r 60000btu 380-415v 3n 50hz;17181000;1;0;;;;;AACM21-TRCT60CWN1;;TOKYO;7841175017416;;;93,50;93,50;93,50;270,939625;20;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/AACM21-TRCT60CWN1.jpg;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial&Ancho:93.5  CM&Alto:86.5  CM&Largo:134  CM&Peso:183000  GR;;;
;Accesorio kitchenaid molino de frutas y verduras mod 5fvsp;750000;1;0;;;;;GM-5FVSP;;KITCHENAID;50946426143;;;10,50;10,50;10,50;1,097250;5;;;;;;;;IDEAL PARA PREPARAR DELICIOSAS MERMELADAS, COMPOTAS Y TODO TIPO DE SALSAS DULCES Y SALADAS, SEPARANDO SEMILLAS, TALLOS Y CáSCARAS. SE UTILIZA CON EL ACCESORIO PICADOR (FGA)., ;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GM-5FVSP(1).jpg&http://181.40.23.235:8199/files/imagenes/productos/GM-5FVSP~1.jpg;;;Marca:KITCHENAID&Producto:ACCESORIOS&Segmento:PEQUE�OS ELECTRODOMESTICOS&Vendedor:Sara Comercial&Ancho:10.5  CM&Alto:19  CM&Largo:22  CM&Peso:1  GR;;;
;Acondicionador de aire portatil tokyo tokport21-12chr1 12000btu control remoto;3108000;1;0;;;;;AATOKPORT21-12CHR1;;TOKYO;7841175015580;;;52,00;52,00;52,00;51,772500;50;;;;;;;;EL ACONDICIONADOR DE AIRE PORTáTIL TOKYO COMBINA LA úLTIMA TECNOLOGíA CON LA MáS ALTA EFICIENCIA Y EL RESPALDO DE LA MARCA LíDER EN CLIMATIZACIóN, ES IDEAL PARA COCINAS, DORMITORIOS, COMEDORES, QUINCHOS, OFICINAS CORPORATIVAS, HOSPITALES, CASAS DE CAMPO, ENTRE OTROS.;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/AATOKPORT21-12CHR1.jpg;;;Marca:TOKYO&Producto:AIRES PORTATILES&Segmento:CLIMATIZACION&Vendedor:Sara Comercial&Tension electrica:220-240  VOLTIOS&Frecuencia electrica:50  HERTZ&Ancho:52  CM&Alto:45  CM&Largo:88.5  CM&Peso:36500  GR;;;
;Acondicionador de aire  mod 5r1f-r(u) 60000btu/h piso/techo gas ecologico r410a fc/c-desc. lateral 380v-415v;14380000;1;0;;;;;282;;TOKYO;;;;114,50;114,50;114,50;1368,733000;50;;;;;;;;¡OLVÍDATE DEL CALOR CON ESTE INCREÍBLE AIRE TOKYO!, DE GRAN CAPACIDAD, MAYOR RENDIMIENTO, MAYOR ENFRIAMIENTO EN MENOR TIEMPO Y MAYOR VIDA úTIL.;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/AATEA20-PT-5R1F-R(U).jpg&http://181.40.23.235:8199/files/imagenes/productos/AATCA20-PT-5R1F-R(U).jpg;;;Marca:TOKYO&Producto:AIRES SPLITS PISO-TECHO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial&Capacidad:60.000  BTU&Tension electrica:380-415  VOLTIOS&Ancho:114.5  CM&Alto:172  CM&Largo:278  CM&Peso:161000  GR;;;
