ID;Nombre;Precio impuestos incluidos;ID regla de impuestos;En oferta (0/1);Valor del descuento;Porcentaje de descuento;Descuento desde (aaaa-mm-dd);Descuento hasta (aaaa-mm-dd);Referencia nº;N° de referencia proveedor;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Cantidad;Cantidad mínima;Nivel de stock bajo;Envíame un mensaje de correo electrónico cuando la cantidad esté por debajo de este nivel;Visible en;Coste adicional del envío;Unidad para el precio unitario;Resumen;Descripción;Etiquetas (x,y,z...);Meta-título;Meta keywords;Meta descripción;URL reescrita;Disponible para pedidos (0 = No, 1 = Si);Fecha de disponibilidad del producto;Fecha de creación del producto;URL's de las imágenes (x,y,z...);Textos alternativos de imagen (x,y,z...);Elimine las imágenes existentes (0 = No, 1 = Si);Característica (Nombre:Valor:Posición:Personalizado);Estado;Destacado;
;Ablandador de carne metvisa tipo pac 1/2 hp 220v/50 hz;2776000;1;0;;;;;GAM-PAC;;METVISA;7899511901653;;;23,00;23,00;23,00;23,000000;0;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GAM-PAC.jpg;;;Marca:METVISA&Producto:REBANADORES COMERCIALES&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial&Ancho:23  CM&Alto:54.5  CM&Largo:34  CM&Peso:23000  GR;;;
;Ablandador de carne malta manual mod 901 en aluminio 17cm;243000;1;0;;;;;GACM-901;;MALTA;7896201709018;;;22,50;22,50;22,50;12,000000;5;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GACM-901.jpg;;;Marca:MALTA&Producto:REBANADORES COMERCIALES&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial&Ancho:22.5  CM&Alto:37  CM&Largo:11.5  CM&Peso:12000  GR;;;
;Aa compacto tokyo mod trct360cwn1 360000btu 380-415v 3n 50hz con filtro y porta;83970000;1;0;;;;;AACM20-TRCT360CWN1;;TOKYO;7841175014392;;;233,00;233,00;233,00;1632,811575;20;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial&Ancho:233  CM&Alto:125.7  CM&Largo:223  CM&Peso:940000  GR;;;
;Aa compacto tokyo frio solo mod trct-60cwn1-r 60000btu 380-415v 3n 50hz;12684000;1;0;;;;;AACM18-TRCT60CWN1;;TOKYO;7841175011339;;;93,50;93,50;93,50;270,939625;20;;;;;;;;LOS ACONDICIONADORES DE AIRE TOKYO COMBINAN LA ULTIMA TECNOLOGIA CON LAS MAS ALTA EFICIENCIA Y EL RESPALDO DE LA MARCA LIDER EN CLIMATIZACIóN, ;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AACM18-TRCT60CWN1.jpg;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial&Ancho:93.5  CM&Alto:86.5  CM&Largo:134  CM&Peso:183000  GR;;;
;Abdominalera evolution total crunch ab50;715000;1;0;;;;;GIMEVOAB50-N;;EVOLUTION;7898953407297;;;25,00;25,00;25,00;35,859375;50;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GIMEVOAB50-N.jpg;;;Marca:EVOLUTION&Producto:COMPLEMENTOS FITNESS&Segmento:FITNESS&Vendedor:Sara Comercial&Ancho:25  CM&Alto:67.5  CM&Largo:85  CM&Peso:11500  GR;;;
;Aa ventana tokyo 9000 btu tokchr18-09bt1 frio/calor con control remoto;1835000;1;0;;;;;AATOKCHR18-09BT1;;TOKYO;7841175011025;;;43,50;43,50;43,50;32,609558;5;;;;;;;;LOS ACONDICIONADORES DE AIRE TOKYO COMBINAN LA ULTIMA TECNOLOGIA CON LAS MAS ALTA EFICIENCIA Y EL RESPALDO DE LA MARCA LIDER EN CLIMATIZACIóN, ;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATOKCHR18-09BT1.jpg;;;Marca:TOKYO&Producto:AIRES DE VENTANA&Segmento:CLIMATIZACION&Vendedor:Sara Comercial&Tension electrica:220-240  VOLTIOS&Frecuencia electrica:50  HERTZ&Ancho:43.5  CM&Alto:60.7  CM&Largo:49.4  CM&Peso:32000  GR;;;
;Ablandador de carne malta manual 902 17cm;214000;1;0;;;;;GAMC902;;MALTA;7896201709025;;;24,00;24,00;24,00;1,875000;0;;;;;;;;ABLANDADOR DE CARNE MALTA MANUAL 902. 17 CM;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GAMC902.jpg;;;Marca:MALTA&Producto:REBANADORES COMERCIALES&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial&Dimension:1  CENTIMETROS&Ancho:24  CM&Alto:12.5  CM&Largo:25  CM&Peso:1320  GR;;;
;Abdominalera evolution evo ab coaster monitor digital peso max 110kgs;1011000;1;0;;;;;GIMEVOAB-N;;EVOLUTION;7841175005161;;;38,00;38,00;38,00;46,208000;20;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GIMEVOAB-N.jpg;;;Marca:EVOLUTION&Producto:COMPLEMENTOS FITNESS&Segmento:FITNESS&Vendedor:Sara Comercial&Ancho:38  CM&Alto:38  CM&Largo:128  CM&Peso:26000  GR;;;
;Accesorio kitchenaid cortador en espiral mod ksm1apc;1250000;1;0;;;;;GC-KSM1APC;;KITCHENAID;5413184102470;;;7,40;7,40;7,40;1,000000;5;;;;;;;;AHORA PODéS PRESENTAR TU COMIDA DE MANERA DIVERTIDA Y ELABORAR RECETAS ESPECIALES COMO ESPAGUETIS DE CALABAZA O FIDEOS DE ZUCCHINI. EL CORTADOR EN ESPIRAL CUENTA CON CUATRO CUCHILLAS QUE CORTAN EN ESPIRAL TIRAS FINAS O MEDIANAS Y DESCORAZONA TODO TIPO DE FRUTAS Y VERDURAS. COMPATIBLE CON TODAS LAS BATIDORAS KITCHENAID., ;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GC-KSM1APC.jpg;;;Marca:KITCHENAID&Producto:ACCESORIOS&Segmento:PEQUE�OS ELECTRODOMESTICOS&Vendedor:Sara Comercial&Ancho:7.4  CM&Alto:31.4  CM&Largo:14.7  CM&Peso:1000  GR;;;
;Accesorio kitchenaid exprimidor de frutas mod je;326000;1;0;;;;;GE-JE;;KITCHENAID;50946000299;;;12,00;12,00;12,00;1,173000;0;;;;;;;;CON EL EXPRIMIDOR DE FRUTAS CíTRICAS, PODéS PREPARAR RáPIDA Y FáCILMENTE UN NUTRITIVO JUGO DE NARANJA, LIMóN O POMELO. SU COLADOR INCORPORADO SEPARA LAS SEMILLAS Y LA PULPA. COMPATIBLE CON TODAS LAS BATIDORAS KITCHENAID., ;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GE-JE.jpg;;;Marca:KITCHENAID&Producto:ACCESORIOS&Segmento:PEQUE�OS ELECTRODOMESTICOS&Vendedor:Sara Comercial&Ancho:12  CM&Alto:23  CM&Largo:17  CM&Peso:540  GR;;;
