ID;Nombre;ID regra de impuestos;Precio impuestos incluidos;En oferta;Valor del descuento;Porcentaje de descuento;Descuento desde fecha;Descuento hasta fecha;Referencia Nº;Referencia Nº Proveedor;Precio impuestos excluidos;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Plazo de entrega con stock;Plazo de entrega sin stock;Cantidad;Cantidad minima;Nivel de stock bajo;Enviame un correo cuando stock bajo;Visible;Costo adicional de envio;Unidad precio;Precio unitario;Resumen;Descripcion larga;Etiquetas;Meta-titulo;meta-keywords;meta-descripcion;url-reescrita;etiqueta con stock;etiqueta en espera;disponible pedidos;fecha disponible;fecha creacion;mostrar precio;URL's de las imágenes;Texto alternativo;Elimine las imagenes existentes;Caracteristicas;Solo disponible por internet;
;Aa compacto Tokyo frio solo mod trct-60cwn1-r 60000btu 380-415v 3n 50hz;1;12684000;;;;;;AACM18-TRCT60CWN1;;;TOKYO;7841175011339;;;93,50;86,50;134,00;270,94;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AACM18-TRCT60CWN1.jpg;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Abdominalera Evolution total crunch ab50;1;421000;;;;;;GIMEVOAB50;;;EVOLUTION;7898953407297;;;25,00;67,50;85,00;35,86;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GIMEVOAB50-N.jpg;;;Marca:EVOLUTION&Producto:COMPLEMENTOS FITNESS&Segmento:FITNESS&Vendedor:Sara Comercial;;
;Abdominalera Evolution evo ab coaster monitor digital peso max 110kgs;1;1011000;;;;;;GIMEVOAB;;;EVOLUTION;7841175005161;;;38,00;38,00;128,00;46,21;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GIMEVOAB.JPG;;;Marca:EVOLUTION&Producto:MULTIFUERZA&Segmento:FITNESS&Vendedor:Sara Comercial;;
;Aa compacto Tokyo mod trct240cwn1 240.000 frio/solo, 380-415v;1;44415000;;;;;;AACM19-TRCT240CWN1;;;TOKYO;7841175013296;;;221,20;128,40;169,50;1203,54;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AACM19-TRCT240CWN1.jpg;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Aa compacto Tokyo mod trct360cwn1 360000btu 380-415v 3n 50hz;1;74973000;;;;;;AACM17-TRCT360CWN1;;;TOKYO;7841175009978;;;233,00;127,50;223,00;1656,19;;;3;;;;;;;;AA COMPACTO 360000BTU;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AACM17-TRCT360CWN1.jpg;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Aa compacto Tokyo mod trct240cwn1 240000btu 380-415v 3n 50hz;1;44415000;;;;;;AACM16-TRCT240CWN1;;;TOKYO;7841175007653;;;169,50;128,40;221,20;1203,54;;;3;;;;;;;;AIRE ACONDICIONADO COMPACTO 240000BTU;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AACM16-TRCT240CWN1.jpg;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Ablandador de carne Malta manual mod 901 en aluminio 17cm;1;151000;;;;;;GACM-901;;;MALTA;;;;22,50;37,00;11,50;12,00;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GACM-901.jpg;;;Marca:MALTA&Producto:REBANADORES COMERCIALES&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Aa ventana Tokyo 9000 btu tokchr18-09bt1 frio/calor con control remoto;1;1835000;;;;;;AATOKCHR18-09BT1;;;TOKYO;7841175011025;;;43,50;60,70;49,40;32,61;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATOKCHR18-09BT1.jpg;;;Marca:TOKYO&Producto:AIRES DE VENTANA&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Abridora. aplastadora. formadora de masas Skymsen mod amp-500 1/2hp 220v/50hz;1;18877000;;;;;;GAAFMS-AMP5;;;SKYMSEN;7895707641877;;;77,00;88,00;102,00;172,79;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GAAFMS-AMP5.jpg;;;Marca:SKYMSEN&Producto:EQUIPOS DE PANADERIA&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Ablandador de carne Skymsen mod abn-hd inox heavy duty 1/2 hp 220v/50 hz;1;7557000;;;;;;GACS-ABN;;;SKYMSEN;7895707641785;;;51,00;31,00;59,00;28,00;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GACS-ABN.jpg;;;Marca:SKYMSEN&Producto:REBANADORES COMERCIALES&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
