ID;Nombre;Precio impuestos incluidos;ID regla de impuestos;En oferta (0/1);Valor del descuento;Porcentaje de descuento;Descuento desde (aaaa-mm-dd);Descuento hasta (aaaa-mm-dd);Referencia nº;N° de referencia proveedor;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Cantidad;Cantidad mínima;Nivel de stock bajo;Envíame un mensaje de correo electrónico cuando la cantidad esté por debajo de este nivel;Visible en;Coste adicional del envío;Unidad para el precio unitario;Resumen;Descripción;Etiquetas (x,y,z...);Meta-título;Meta keywords;Meta descripción;URL reescrita;Disponible para pedidos (0 = No, 1 = Si);Fecha de disponibilidad del producto;Fecha de creación del producto;URL's de las imágenes (x,y,z...);Textos alternativos de imagen (x,y,z...);Elimine las imágenes existentes (0 = No, 1 = Si);Característica (Nombre:Valor:Posición:Personalizado);Estado;Destacado;
;Ablandador de carne Malta manual 902 17cm;195000;1;0;;;;;GAMC902;;MALTA;;;;24,00;24,00;24,00;1,88;0;;;;;;;;Marca:MALTA&Producto:REBANADORES COMERCIALES&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GAMC902.jpg;;;;;;
;Aa compacto Tokyo mod trct360cwn1 360000btu 380-415v 3n 50hz;74973000;1;0;;;;;AACM17-TRCT360CWN1;;TOKYO;;;;233,00;233,00;233,00;1656,19;5;;;;;;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AACM17-TRCT360CWN1.jpg;;;;;;
;Aa compacto Tokyo mod trct240cwn1 240000btu 380-415v 3n 50hz;44415000;1;0;;;;;AACM16-TRCT240CWN1;;TOKYO;;;;169,50;169,50;169,50;1203,54;0;;;;;;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AACM16-TRCT240CWN1.jpg;;;;;;
;Ablandador de carne Malta manual mod 901 en aluminio 17cm;156000;1;0;;;;;GACM-901;;MALTA;;;;22,50;22,50;22,50;12,00;0;;;;;;;;Marca:MALTA&Producto:REBANADORES COMERCIALES&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GACM-901.jpg;;;;;;
;Aa ventana Tokyo 9000 btu tokchr18-09bt1 frio/calor con control remoto;1835000;1;0;;;;;AATOKCHR18-09BT1;;TOKYO;;;;43,50;43,50;43,50;32,61;50;;;;;;;;Marca:TOKYO&Producto:AIRES DE VENTANA&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATOKCHR18-09BT1.jpg;;;;;;
;Aa compacto Tokyo frio solo mod trct-60cwn1-r 60000btu 380-415v 3n 50hz;12684000;1;0;;;;;AACM18-TRCT60CWN1;;TOKYO;;;;93,50;93,50;93,50;270,94;20;;;;;;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AACM18-TRCT60CWN1.jpg;;;;;;
;Abdominalera Evolution total crunch ab50;421000;1;0;;;;;GIMEVOAB50-N;;EVOLUTION;;;;25,00;25,00;25,00;35,86;50;;;;;;;;Marca:EVOLUTION&Producto:COMPLEMENTOS FITNESS&Segmento:FITNESS&Vendedor:Sara Comercial;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GIMEVOAB50-N.jpg;;;;;;
;Aa compacto Tokyo mod trct240cwn1 240.000 frio/solo, 380-415v;44415000;1;0;;;;;AACM19-TRCT240CWN1;;TOKYO;;;;221,20;221,20;221,20;1203,54;5;;;;;;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AACM19-TRCT240CWN1.jpg;;;;;;
;Ablandador de carne Metvisa tipo pac 1/2 hp 220v/50 hz;2472000;1;0;;;;;GAM-PAC;;METVISA;;;;23,00;23,00;23,00;23,00;5;;;;;;;;Marca:METVISA&Producto:REBANADORES COMERCIALES&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GAM-PAC.jpg;;;;;;
;Ablandador de carne Skymsen mod abn-hd inox heavy duty 1/2 hp 220v/50 hz;7818000;1;0;;;;;GACS-ABN;;SKYMSEN;;;;51,00;51,00;51,00;28,00;0;;;;;;;;Marca:SKYMSEN&Producto:REBANADORES COMERCIALES&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GACS-ABN.jpg;;;;;;
;Abdominalera Evolution evo ab coaster monitor digital peso max 110kgs;1011000;1;0;;;;;GIMEVOAB-N;;EVOLUTION;;;;38,00;38,00;38,00;46,21;50;;;;;;;;Marca:EVOLUTION&Producto:COMPLEMENTOS FITNESS&Segmento:FITNESS&Vendedor:Sara Comercial;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GIMEVOAB-N.jpg;;;;;;
;Accesorio Kitchenaid exprimidor de frutas mod je;311000;1;0;;;;;GE-JE;;KITCHENAID;;;;12,00;12,00;12,00;1,17;0;;;;;;;;Marca:KITCHENAID&Producto:ACCESORIOS&Segmento:PEQUE�OS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GE-JE.jpg;;;;;;
;Abridora. aplastadora. formadora de masas Skymsen mod amp-500 1/2hp 220v/50hz;19528000;1;0;;;;;GAAFMS-AMP5;;SKYMSEN;;;;77,00;77,00;77,00;172,79;0;;;;;;;;Marca:SKYMSEN&Producto:EQUIPOS DE PANADERIA&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GAAFMS-AMP5.jpg;;;;;;
;Accesorio Kitchenaid extractor de jugo mod ksm1ja;2032000;1;0;;;;;GE-KSM1JA;;KITCHENAID;;;;18,00;18,00;18,00;4,14;0;;;;;;;;Marca:KITCHENAID&Producto:ACCESORIOS&Segmento:PEQUE�OS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GE-KSM1JA.jpg;;;;;;
;Accesorio Kitchenaid cortador en espiral mod ksm1apc;1250000;1;0;;;;;GC-KSM1APC;;KITCHENAID;;;;7,40;7,40;7,40;1,00;5;;;;;;;;Marca:KITCHENAID&Producto:ACCESORIOS&Segmento:PEQUE�OS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GC-KSM1APC.jpg;;;;;;
;Accesorio turbo chef cesta med 16.5cmx36.2cmx1.3cm mod ngc-1278;468000;1;0;;;;;GHTA-NGC1278;;TURBOCHEF;;;;16,50;16,50;16,50;0,19;0;;;;;;;;Marca:TURBOCHEF&Producto:ACCESORIOS&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GHTA-NGC1278.jpg;;;;;;
;Accesorio Kitchenaid molino de frutas y verduras mod 5fvsp;750000;1;0;;;;;GM-5FVSP;;KITCHENAID;;;;23,00;23,00;23,00;2,71;5;;;;;;;;Marca:KITCHENAID&Producto:ACCESORIOS&Segmento:PEQUE�OS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GM-5FVSP.jpg;;;;;;
;Accesorio turbo chef cesta med 363mmx343mmx25mm mod 100011;379000;1;0;;;;;GHTA-100011;;TURBOCHEF;;;;36,30;36,30;36,30;0,78;0;;;;;;;;Marca:TURBOCHEF&Producto:ACCESORIOS&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GHTA-100011.jpg;;;;;;
